"code","name"
"122MRLD ","Marsland Formation"
"122MSCL ","Mascall Formation"
"122MSHK ","Meshik Formation"
"122MSHL ","Mashel Formation"
"122NPSS ","New Pass Tuff"
"122NRCP ","Narrow Cape Formation"
"122NRCSL","North Coast Limestone Aquifer, Lower"
"122NRCSU","North Coast Limestone Aquifer, Upper"
"122NRLY ","Neroly Formation"
"122NRPK ","North Park Formation"
"122OBKB ","O Briens Knob Rhyolite"
"122OCDP ","Orchard Point Conglomerate of Blakeley Formation"
"122OCHP ","Ochopee Limestone Member of Tamiami Formation"
"122OCNC ","Ocean City Aquifer"
"122OKGV ","Oak Grove Sand Member of Shoal River Formation"
"122OKVC ","Oakville Sandstone and Catahoula Tuff"
"122OKVL ","Oakville Sandstone"
"122OLCS ","Olcese Sand"
"122ORBP ","Ocher Ridge and Belted Peak Rhyolite"
"122ORSN ","Oursan Formation"
"122ORTL ","Ortley Unit of Grande Ronde Basalt"
"122ORTN ","Ortona Sand Member of Tamiami Formation"
"122OVCJ ","Oakville Sandstone, Catahoula Tuff and Jackson Group"
"122OWYH ","Owyhee Basalt"
"122PBRS ","Paintbrush Tuff"
"122PCGG ","Picture Gorge Basalt of Columbia River Basalt Group"
"122PCGL ","Pascagoula Formation"
"122PCGLL","Lower Pascagoula"
"122PCMK ","Pocomoke Aquifer"
"122PCNN ","Pah Canyon Member"
"122PCRS ","Pinecrest Sand"
"122PDOV ","Pend Oreille Valley Andesite"
"122PDRV ","Powder River Volcanics"
"122PEMD ","Pre-Esmeralda Volcanic Rocks"
"122PFFY ","Puffy Member, Katalla Formation"
"122PGML ","Page Mill Basalt"
"122PGRC ","Page Ranch Formation (Miocene-Oligocene)"
"122PGRV ","Pungo River Formation"
"122PHMK ","Paynes Hammock Sand"
"122PICR ","Picuris Tuff"
"122PLCK ","Poul Creek Formation"
"122PLTO ","Pleito Formation"
"122PMDH ","Pyramid Hill Sand Member of Jewett Sand"
"122PNCR ","Pancho Rico Formation - Miocene"
"122PNSK ","Pensauken Formation"
"122PNTN ","Pantano Formation, Miocene"
"122POMN ","Pomona Member of Saddle Mountains Basalt"
"122PONC ","Ponce Limestone"
"122POTT ","Potato Sandstone of Vaughn"
"122PPTS ","Popotosa Formation"
"122PRMD ","Pyramid Sequence"
"122PRPD ","Priest Rapids Member of Wanapum Basalt Formation"
"122PSCL ","Pensacola Clay"
"122PSCLL","Pensacola Clay, Lower Member"
"122PSCLU","Pensacola Clay, Upper Member"
"122PUNT ","Puente Formation"
"122QBDA ","Quebrada Arenas Limestone Member of Cibao Formation"
"122QNCY ","Quincy Diatomite Bed of Priest Rapids Mbr of Yakima Basalt"
"122QNSB ","Quien Sabe Volcanics"
"122QRDM ","Quartet Dome Rhyolite"
"122QRZM ","Quartz Mountain Rhyolite"
"122RCKC ","Rock Candy Agglomerate and Latite of Bullion Canyon Volcanics"
"122RCKF ","Rockyford Ash Member of Sharps Formation"
"122RDBY ","Red Bay Formation"
"122RFRG ","Reef Ridge Shale"
"122RIND ","Rio Indio Limestone Member of Cibao Formation"
"122RKRG ","Rattlesnake Ridge Member (Informal Usage) of Ellensburg Formation"
"122RLSK ","Rattlesnake Formation"
"122RMSY ","Ramsay Aquifer"
"122RNDM ","Round Mountain Silt"
"122RODO ","Rodeo Shale"
"122ROZA ","Roza Member of Wanapum Basalt Formation"
"122RSBD ","Rosebud Formation"
"122RSDM ","Residuum-South Alabama"
"122RSLA ","Basalt of Rosalia of Priest Rapids Member of Wanapum Basalt"
"122RSRP ","Restoration Point Member of Blakeley Formation"
"122RTTO ","Ritito Conglomerate"
"122RUBO ","Rubio Peak Formation"
"122RWLS ","Rawls Basalt"
"122SBRN ","Sobrante Sandstone"
"122SCCK ","Succor Creek Formation"
"122SCKW ","Stockade Wash Member"
"122SCMC ","Sycamore Canyon Member of Puente Formation"
"122SCRM ","Saucer Mesa Trachyte"
"122SDGV ","Sand and Gravel Aquifer"
"122SDHW ","Basalt of Sand Hollow of Frenchman Springs Member of Wanapum Basalt"
"122SDLM ","Saddle Mountains Basalt Formation"
"122SDMR ","Sedimentary Rocks"
"122SDMS ","Sediments"
"122SDRM ","Sandstorm Rhyolite"
"122SELH ","Selah Member (Informal Usage) of Ellensburg Formation"
"122SESP ","Sespe Formation"
"122SGMF ","Sand and Gravel of Missoula Flood Deposits"
"122SHLR ","Shaler Pluton"
"122SHMY ","Shemya Intrusive Complex"
"122SKMN ","Skamania Volcanic Series"
"122SLDD ","Soledad Volcanic Conglomerate Member of Catahoula Formation"
"122SLFL ","Stonewall Flat Andesite"
"122SLKC ","Slack Canyon Unit of Grande Ronde Basalt"
"122SLML ","Shell-Marl Aquifer"
"122SLRV ","Shoal River Formation"
"122SLSI ","Basalt of Sillusi of Umatilla Member of Saddle Mtns Basalt"
"122SLVS ","Silver Star Granodiorite"
"122SLYR ","Salyer Formation"
"122SMLR ","Simmler Formation"
"122SMRG ","Santa Margarita Formation"
"122SMRK ","St. Marks Formation"
"122SMRS ","St Marys Formation"
"122SNCR ","Sanctuary Formation"
"122SNDS ","Sandstone Aquifer"
"122SNRM ","San Ramon Sandstone"
"122SNRN ","Suntrana Formation"
"122SNTFL","Santa Fe Group, Lower Part"
"122SOFR ","San Onofre Breccia"
"122SPBL ","San Pablo Group"
"122SPCK ","Sheep Creek Formation"
"122SPRS ","Spears Member of Datil Formation"
"122SQCK ","Squaw Creek Diatomite Bed of Ellensburg Formation"
"122SQUL ","Soquel Member of Puente Formation"
"122SRDN ","Sardine Formation"
"122SRMN ","Sherman Diorite"
"122SRPS ","Sharps Formation"
"122STLB ","Sentinel Bluffs Unit of Grande Ronde Basalt"
"122STLG ","Basalt of Sentinel Gap of Frenchman Springs Member of Wanapum Basalt"
"122SVFL ","Basalt of Silver Falls of Frenchman Springs Member of Wanapum Basalt"
"122SVRG ","Steves Ridge Formation"
"122TAMP ","Tampa Limestone"
"122TBSP ","Tub Springs Member"
"122TCFC ","Tchefuncta Aquifer, Miocene Age"
"122TCHT ","Touchet Beds"
"122TCPK ","Tolicha Peak Tuff"
"122TICE ","Tice Formation"
"122TMBL ","Temblor Formation"
"122TMIM ","Tamiami Formation"
"122TMIMN","Tamiami Formation, Limestone Aquifer"
"122TMIMR","Tamiami Formation, Shell-Marl Aquifer"
"122TNJAL","Tinaja Beds, Lower Miocene"
"122TNUM ","Taneum Andesite"
"122TOML ","Tomil Volcanics"
"122TPNG ","Topanga Formation"
"122TPPI ","Tagpochau Limestone, Pure To Impure Limestone Facies"
"122TPPS ","Topopah Spring Member"
"122TRMN ","Thurman Formation"
"122TRPC ","Tropico Group"
"122TRRY ","Torreya Formation"
"122TRVR ","Traverse Volcanics of Salt Lake Formation (Miocene-Oligocene)"
"122TTUM ","Tatum Limestone Member of Catahoula Formation"
"122TVCN ","Tiva Canyon Member"
"122TWNT ","Teewinot Formation"
"122ULSK ","Unalaska Formation"
"122UMTC ","Umatac Formation, Undifferentiated"
"122UMTL ","Umatilla Member of Saddle Mountains Basalt"
"122UMUM ","Basalt of Umatilla of Umatilla Member of Saddle Mtns Basalt"
"122UNGA ","Unga Conglomerate Member, Bear Lake Formation"
"122UPPR ","Upper Member of Cibao Formation"
"122UTNM ","Umtanum Unit of Grande Ronde Basalt"
"122UVAS ","Uvas Basalt"
"122VBAT ","Volcanic Breccias, Agglomerates or Tuffs"
"122VDCR ","Vindicator Rhyolite"
"122VDDR ","Vedder Sands"
"122VLCC ","Volcanic Rocks"
"122VNTG ","Vantage Member of Ellensburg Formation"
"122VQRS ","Vaqueros Formation or Sandstone"
"122VSPG ","Valley Springs Formation"
"122VSQZ ","Vasquez Formation (Miocene-Oligocene)"
"122WBSP ","White Blotch Spring Tuff"
"122WCMP ","Wilsons Camp Tuff"
"122WDMN ","Wood Mountain Gravels"
"122WHMN ","Wahmonie Formation"
"122WICK ","Williamson Creek Aquifer"
"122WIDX ","West Index Andesitic Series"
"122WMCK ","Williamson Creek Member of Fleming Formation"
"122WNPM ","Wanapum Basalt Formation"
"122WPSL ","Wapshilla Ridge Unit of Grande Ronde Basalt"
"122WRDG ","White Ridge Rhyolite"
"122WTRW ","Winter Water Unit of Grande Ronde Basalt"
"122YKFK ","Yankee Fork Rhyolite Member of Challis Volcanics"
"122YKIM ","Yakima Basalt Subgroup of Columbia River Basalt Group"
"122YLRV ","Yellow River Formation"
"122YORB ","Yorba Member of Puente Formation"
"122YRKN ","Yorktown Formation"
"122YRKNQ","Yorktown Aquifer"
"122YRKNT","Yorktown Aquitard"
"122ZYNT ","Zayante Sandstone"
"123ADMI ","Admiralty Island Volcanics"
"123AHRN ","Ahearn Member of Chadron Formation"
"123ALMM ","Alutom Formation, Main Body"
"123ALTM ","Alutom Formation"
"123ANHC ","Anahuac Formation"
"123ARKB ","Arakabesan Member of Ngeremlengui Formation"
"123ASLY ","Ashley Formation of Cooper Group"
"123BCRK ","Basin Creek Member, Katalla Formation"
"123BCTN ","Bucatunna Clay Member of Byram Formation"
"123BGRV ","Big Round Valley Tuff"
"123BGSD ","Big Sand Draw Sandstone Lentil of White River Formation"
"123BKRS ","Black Rock Summitt Tuff"
"123BLCB ","Blanco Basin Formation"
"123BLCK ","Burls Creek Shale Member of Katalla Formation"
"123BLDK ","Bald Knoll Formation"
"123BLDL ","Baldhills Member of Isom Formation"
"123BLKL ","Blakeley Formation"
"123BNJP ","Banjo Point Formation"
"123BRUL ","Brule Formation of White River Group"
"123BSHP ","Bishop Conglomerate"
"123BVDV ","Beaver Divide Conglomerate Member of White River Formation"
"123BVRB ","Beaver Bay Group"
"123BYRM ","Byram Formation"
"123BYRMM","Middle Marl Member of Byram Formation"
"123CBGA ","Climbing Arrow Formation of Bozeman Group (Oligocene-Eocene)"
"123CCKS ","Chickasawhay Limestone"
"123CDBG ","Chandler Bridge Formation"
"123CDRN ","Chadron Formation of White River Group"
"123CDRNB","Chadron Formation, Basal Sand and Gravel"
"123CHLS ","Challis Volcanics"
"123CKCK ","Chicken Creek Tuff (Oligocene-Eocene)"
"123CKRC ","Cook Ranch Formation"
"123CKTP ","Chickasawhay Limestone and Tampa Formation, Undifferentiated"
"123CLRK ","Castle Rock Conglomerate"
"123CLWL ","Calloway Well Formation"
"123COOP ","Cooper Marl Group"
"123COPR ","Cooper Marl"
"123CPHL ","Cypress Hills Beds"
"123CRCK ","Castle Rock Conglomerate"
"123CRDN ","Chadron Formation"
"123CRZJ ","Crazy Johnson Member of Chadron Formation"
"123CTNO ","Caetano Tuff"
"123CZHL ","Crazy Hollow Formation"
"123DBCK ","Dunbar Creek Formation of Bozeman Group"
"123DCCC ","Duncan Church Beds Member of Suwannee Limestone"
"123DCRV ","Duchesne River Formation"
"123EOCN ","Eocene Series"
"123EUGNE","Eugen Formation"
"123FFWT ","Felsic Flows or Welded Tuffs"
"123FLCK ","Fool Creek Conglomerate"
"123FLRV ","Flint River Formation"
"123FNSS ","Fina-Sisu Foramtion"
"123FRHL ","Forest Hill Sand"
"123FRIO ","Frio Clay"
"123FSHRE","Fisher Formation"
"123GLCN ","Glauconitic Unit"
"123GLND ","Glendon Limestone Member of Byram Formation"
"123GLST ","Galisteo Formation"
"123GMGC ","Gilmore Gulch Formation"
"123GRCV ","Gunners Cove Formation"
"123GROM ","Gerome Volcanics"
"123GRRC ","Gries Ranch Formation"
"123HCKC ","Hot Creek Canyon Tuff"
"123HCRK ","Hat Creek Beds"
"123HFDH ","Hartford Hill Rhyolite"
"123HLGM ","Halligan Mesa Tuff"
"123HSPG ","Horse Spring, Oligocene"
"123IGLS ","Ingalls Formation"
"123ISOM ","Isom Formation"
"123JLSY ","Jealousy Formation"
"123KDKM ","Klondike Mountain Formation"
"123KDMR ","Sedimentary Rocks"
"123KESY ","Keasey Formation"
"123KLTT ","Kulthieth Formation"
"123KRKR ","Kirker Tuff"
"123KRNG ","Kreyenhagen Shale or Formation"
"123KSTK ","Kushtaka Formation"
"123LCSR ","Lacustrine Deposits"
"123LMSN ","Limestone Aquifer"
"123LNCL ","Lincoln Formation"
"123LRES ","Lares Limestone of Rio Guatemala Group"
"123MDRM ","Medorm Member, Ngeremlengui Formation"
"123MFCF ","Mafic Flows"
"123MHLC ","Mahlac Member, Alutom Formation"
"123MNTN ","Monotony Tuff"
"123MRINO","Marine Rocks, Older"
"123MRNN ","Marianna Limestone"
"123MRSB ","Moores Station Butte Tuff"
"123MRSN ","Marrowstone Shale"
"123MSPG ","Mint Spring Marl Member of Marianna Limestone"
"123MZPH ","Mizpah Trachyte"
"123NDLS ","The Needles Tuff"
"123NDRG ","Needles Range Formation"
"123NGMD ","Nghemesed Member Ngeremlengui Formation"
"123NGMG ","Ngeremlengui Formation, Undifferentiated"
"123NRWD ","Norwood Tuff of Salt Lake Formation"
"123OGCE ","Oligocene-Eocene Series"
"123OLCK ","Orange Lichen Creek Tuff"
"123OLGC ","Oligocene Series"
"123OPCS ","Ohanapecosh Formation"
"123PCDS ","Prichards Station"
"123PEOA ","Peoa Tuff"
"123PHLV ","Pott Hole Valley Tuff"
"123PHRH ","Pah Rah Formation"
"123PLDM ","Palisade Mesa Tuff"
"123PLSD ","Poleslide Member of Brule Formation"
"123PMPK ","Palm Park Formation"
"123PNCT ","Pinecate Formation"
"123PNPK ","Peanut Peak Member of Chadron Formation"
"123PNTH ","Point Hey Member, Katalla Formation"
"123PNTN ","Pantano Formation, Oligocene"
"123PRKC ","Park City Volcanics"
"123PRTR ","Porter Shale"
"123PUGT ","Puget Group"
"123QCHP ","Quichapa Formation"
"123QMPR ","Quimper Sandstone"
"123RDBF ","Red Bluff Clay"
"123RDCK ","Reeds Creek Andesite"
"123RDWD ","Redwood Formation"
"123REE  ","Ree Beds"
"123RNTN ","Renton Formation of Puget Group"
"123ROXY ","Roxy Formation"
"123RRKC ","Red Rock Canyon Tuff"
"123RSCN ","Rose Canyon Latite-Andesite Volcanics"
"123RSRP ","Restoration Point Horizon"
"123SCNC ","Scenic Member of Brule Formation"
"123SDMS ","Sediments"
"123SJBS ","San Juan Bautista Formation"
"123SKCK ","Skate Creek Laharic Breccia"
"123SKDK ","Sitkalidak Formation"
"123SKNK ","Sitkinak Formation"
"123SLDD ","Soledad Rhyolite"
"123SLMB ","Slim Buttes Formation"
"123SLRZ ","San Lorenzo Formation"
"123SMNN ","South Mountain Andesite Flows"
"123SNDL ","Sandel Formation"
"123SPCK ","Split Creek Sandstone Member, Katalla Formation"
"123SPVK ","Stepovak Formation of Beaver Bay Group"
"123SSBS ","San Sabastian Formation of Rio Guatemala Group"
"123STTL ","Seattle Formation"
"123STTR ","Sweetwater Member of White River Formation"
"123STWL ","South Willow Formation"
"123SWNN ","Suwannee Limestone"
"123TKUM ","Tokun Formation"
"123TKWL ","Tukwila Formation of Puget Group"
"123TMNM ","Tateman Mountain Gravel"
"123TMTB ","Tom Thumb Tuff Member of Klondike Mountain Formation"
"123TNPH ","Tonopah Formation"
"123TNSD ","Townsend Shale"
"123TPKS ","Twin Peaks Tuff"
"123TRVR ","Twin River Formation"
"123TSCL ","Tascotal Formation"
"123TSCN ","Titus Canyon Formation"
"123TSDK ","Tsadaka Formation"
"123TUMY ","Tumey Formation"
"123TUTL ","Toutle Formation"
"123VBAT ","Volcanic Breccias, Agglomerates or Tuffs"
"123VKBG ","Vicksburg Group"
"123VKBJC","Vicksburg-Jackson Confining Unit"
"123VLCC ","Volcanic Rocks"
"123WIRV ","White River Formation or Group"
"123WKKM ","Wahkiakum Formation"
"123WLND ","Wheatland Formation"
"123WRDS ","Wanrhodes Volcanics"
"123WRMP ","Williams Ridge and Morey Peak Tuff"
"123WRVR ","White River Formation"
"123WRVRG","White River Group"
"123WSBR ","Waynesboro Sand Lentil (Informal Usage) of Byram Formation"
"123WVVL ","Weaverville Formation"
"123YODR ","Yoder Formation"
"123YQUN ","Yaquina Formation"
"12405MP ","500-foot Sand (Memphis Aquifer)"
"12414MP ","1400-foot Sand of Memphis Area"
"12414WX ","1400-foot Sand (Lower Wilcox Aquifer)"
"124ABRK ","Absaroka Volcanic Supergroup"
"124ACKM ","Ackerman Formation"
"124ACRS ","Aycross Formation"
"124ADRL ","Andrew Lake Formation"
"124AIKN ","Aiken Formation"
"124AKCK ","Alkali Creek Stratum of Wind River Formation"
"124AKCT ","Alkali Creek Tongue of Wasatch Formation"
"124ALMG ","Almagre Beds"
"124AMLK ","Aimeliik Formation"
"124ANGL ","Angelo Member of Green River Formation"
"124ANMS ","Animas Formation"
"124APEX ","Apex Conglomerate"
"124ARCS ","Archusa Marl Member of Cook Mountain Limestone"
"124ARP  ","Arp Sand Member of Reklaw Formation"
"124AVNL ","Avenal Sandstone"
"124AVPK ","Avon Park Limestone"
"124BACA ","Baca Formation"
"124BAKM ","Black Mingo Group"
"124BBLP ","Babelthuap Formation"
"124BDGH ","Bulldog Hollow Member of Fowkes Formation"
"124BGDF ","Bigford Formation of Claiborne Group"
"124BGFD ","Bigford Formation Claiborne Group"
"124BKFK ","Blacks Fork Member of Bridger Formation"
"124BKMG ","Black Mingo Formation"
"124BKRK ","Black Rock Coal Group"
"124BLDG ","Bells Landing Marl Member of Tuscahoma Sand"
"124BLGM ","Bellingham Beds"
"124BLPN ","Bullpen Member of Wasatch Formation"
"124BMBG ","Bamberg Formation"
"124BNDR ","Boundary Shale"
"124BNDRG","Boundary Granodiorite"
"124BRDG ","Bridger Formation"
"124BRFK ","Burnt Fork White Layer"
"124BRNL ","Barnwell Formation"
"124BSCC ","Basic City Shale Member of Tallahatta Formation"
"124BSHI ","Bashi Marl Member of Hatchetigbee Formation"
"124BSHL ","Bates Hole Formation"
"124BSLT ","Basalt"
"124BSPG ","Battle Spring Formation"
"124BUTN ","Butano Sandstone"
"124BVRD ","Beaverhead Formation (Eocene-Paleocene)"
"124BYNE ","Bayne Series"
"124CANR ","Cane River Aquifer"
"124CAPY ","Capay Shale"
"124CARZ ","Carrizo Aquifer"
"124CBMN ","Cub Mountain Formation"
"124CBRV ","Carbon River Coal Series"
"124CBWX ","Claiborne and Wilcox Formations (Groups) Undifferentiated"
"124CCFD ","Clinchfield Sand"
"124CCHR ","Cuchara Formation"
"124CCKF ","Cockfield Formation of Claiborne Group"
"124CCKFC","Cockfield Aquifer Surficial Confining Unit"
"124CCKFJ","Cockfield Through Jackson, Undivided"
"124CCKM ","Chickahominy Formation"
"124CCKN ","Chuckanut Formation"
"124CDBF ","Cathedral Bluffs Tongue of Wasatch Formation"
"124CDDR ","Cottonwood Draw Banded Layers of Wind River Formation"
"124CDLL ","Cadell Formation"
"124CHCO ","Chaco Marl"
"124CHLS ","Chehalis Sandstone"
"124CHPP ","Chappo Member of Wasatch Formation"
"124CKFJ ","Cockfield Through Jackson Formations"
"124CKGP ","Crooks Gap Conglomerate"
"124CKMN ","Cook Mountain Formation"
"124CKMNC","Cook Mountain Confining Unit"
"124CKMNG","Cook Mountain Formation of Claiborne Group"
"124CKMNJ","Jackson Through Cook Mountain, Undivided"
"124CKMNR","Cook Mountain Limestone"
"124CKMS ","Cook Mountain Formation and Sparta Sand"
"124CLAR ","Claron Limestone or Formation"
"124CLBR ","Claiborne Group"
"124CLCK ","Clear Creek Gravels"
"124CLLM ","Callaham Sand"
"124CLMN ","Coalmont Formation"
"124CLPK ","Continental Peak Formation"
"124CLRG ","Canyon Largo Sandstone"
"124CLRN ","Clarno Formation"
"124CLRV ","Crystal River Formation"
"124CLSN ","Colestin Formation"
"124CLTN ","Colton Formation"
"124CLTZ ","Cowlitz Formation"
"124CMRN ","Camerina Limestone"
"124CNDW ","Cottonwood White Layers"
"124CNGR ","Congaree Formation"
"124COCO ","Cocoa Sand Member of Yazoo Clay"
"124COKF ","Cockfield Aquifer"
"124COLD ","Coaledo Formation"
"124COOK ","Cook Mountain Aquifer"
"124CPRS ","Cypress Aquifer"
"124CRBD ","Carbonado Formation of Puget Group"
"124CRDL ","Crandall Conglomerate"
"124CRRZ ","Carrizo Sand"
"124CRSC ","Crescent Formation"
"124CRSN ","Crosson Trachyte"
"124CRSS ","Cross, Member of Santee Limestone"
"124CRVR ","Cane River Formation"
"124CRVRC","Cane River Confining Unit"
"124CRWL ","Carrizo-Wilcox Aquifer"
"124CRWLC","Carrizo-Wilcox Aquifer System Surficial Confining Unit"
"124CSLH ","Castle Hayne Limestone"
"124CSLHL","Lower Castle Hayne Aquifer"
"124CSLHU","Upper Castle Hayne Aquifer"
"124CUEV ","Cueva Rhyolite"
"124CZDL ","Cozy Dell Formation"
"124CZRK ","Carrizo Sand and Reklaw Formation"
"124CZSB ","Carrizo Sand and Simsboro Sand Member of Rockdale Formation"
"124CZSP ","Carrizo Sand and Sparta Sand"
"124CZWX ","Carrizo Sand and Wilcox Group, Undifferentiated"
"124CZWXA","Carrizo-Wilcox Aquifer"
"124DBLL ","Diboll Member of Jackson Formation"
"124DEAL ","Deal Formation"
"124DGCK ","Douglas Creek Member of Green River Formation"
"124DLHL ","Dolet Hills Aquifer"
"124DLRT ","Dillworth Sand"
"124DMNG ","Domengine Sandstone"
"124DNSM ","Densinyama Formation"
"124DPGV ","Dipping Vat Formation"
"124DUBS ","Dubose Sands and Clays"
"124DVLH ","Devils Hole Formation"
"124DWSN ","Dawson Arkose"
"124ECPC ","Eocene-Paleocene Series"
"124EGLH ","Eagle Hill Rhyolite"
"124ELPC ","El Pico Clay"
"124EOCN ","Eocene Series"
"124EOCNU","Eocene Series, Upper"
"124EVCK ","Evans Creek Coal Series"
"124FCVC ","Felsic Volcanic Rocks"
"124FLGF ","Flagstaff Limestone (Eocene-Paleocene)"
"124FLID ","Flour Island Formation of Wilcox Group"
"124FNNL ","Fontenelle Member of Green River Formation"
"124FRCC ","Franciscan Complex - Ecoene, Cretaceous, Jurassic"
"124FRFX ","Fairfax Coal Bearing Rocks"
"124FRKL ","Franklin Sandstone"
"124FRKLS","Franklin Series"
"124FRNW ","Fernow Quartz Latite"
"124FRPL ","Fort Pillow Sand of Wilcox Group"
"124FRSO ","Farson Sandstone Member of Green River Formation"
"124FRST ","Farasita Conglomerate"
"124FSBR ","Fishburne Formation"
"124FSLB ","Fossil Butte Member of Green River Formation"
"124FSNG ","Fashing Clay"
"124FSPG ","Fearn Springs Member of Nanafalia Formation"
"124FWKS ","Fowkes Formation"
"124GDCK ","Gordon Creek Shale Member of Cook Mountain Formation"
"124GDDB ","Gordon, Millers Pond, and Dublin Aquifers (Multiaquifer)"
"124GDGC ","Garden Gulch Member of Green River Formation"
"124GDMP ","Gordon and Millers Pond Aquifers (Multiaquifer)"
"124GDMV ","Gordon, Millers Pond, Dublin and Midville Aquifers (Multiaquifer)"
"124GDRC ","Goldens Ranch Formation"
"124GGLG ","Greggs Landing Marl Member of Tuscahoma Sand"
"124GLCN ","Glauconitic Unit"
"124GLDV ","Golden Valley Formation"
"124GMPH ","Grampian Hills Member of Nanafalia Formation"
"124GPSH ","Glen Rose (Lower), Pearsall (Hensell, Cow Creek Mbrs), Sligo, Hosston"
"124GRCK ","Ghost Rocks Formation"
"124GRCV ","Green Cove Beds"
"124GRDN ","Gordon Aquifer System"
"124GRNN ","Greenian Series"
"124GRRV ","Green River Formation"
"124GSPR ","Gosport Sand"
"124GUYE ","Guye Formation"
"124GVCK ","Gravel Creek Sand Member of Nanafalia Formation"
"124GVSB ","Golden Vally Formation (Eocne-Paleocene) Butte Mem of Fort Union Form"
"124HANN ","Hanna Formation"
"124HCGB ","Hatchetigbee Formation"
"124HCGBN","Hatchetigbee Formation, Unnamed Member"
"124HGMN ","Hagman Formation"
"124HLPG ","Hollysprings Formation"
"124HLVL ","Harleyville Formation of Cooper Group"
"124HRBC ","Horse Bench Sandstone Bed of Uinta Formation"
"124HRFN ","Huerfano Formation"
"124HRRC ","Henry Ranch Member of Tepee Trail Formation"
"124HUBR ","Huber Formation"
"124HUTN ","Houten Sandstone"
"124HWTH ","Hiawatha Member of Wasatch Formation"
"124HYDR ","Hyder Quartz Monzonite"
"124IDEC ","Indio Formation and Escondido Formation"
"124IGLS ","Inglis Formation"
"124INDO ","Indio Formation"
"124INDR ","Indart Sandstone"
"124IONE ","Ione Formation"
"124IRNN ","Irwinton Sandstone Member of Barnwell Formation"
"124IRSV ","Intrusive Rocks"
"124JCKS ","Jackson Group"
"124JKYG ","Jackson Group and Yegua Formation"
"124JOLL ","La Jolla Formation"
"124KBHL ","Knob Hill Andestie"
"124KCSS ","Kachess Rhyolite"
"124KGBG ","Kingsburg Conglomerate Member of Wasatch Formation"
"124KGBR ","Kingsbury Conglomerate Member of Wasatch Formation"
"124KMMR ","Kummer Series"
"124KMMRF","Kummer Formation"
"124LBRG ","La Barge Member of Wasatch Formation"
"124LFAQ ","Lower Floridan Aquifer"
"124LGSC ","Laguna Seca Formation"
"124LGUN ","Laguna Latite"
"124LKCT ","Lake City Limestone"
"124LLVS ","Llaves Member of San Jose Formation"
"124LMBR ","Lambert Shale"
"124LNEY ","Laney Shale Member of Green River Formation"
"124LODO ","Lodo Formation"
"124LRDO ","Laredo Formation"
"124LRGO ","Largo Facies"
"124LSBN ","Lisbon Formation"
"124LSCB ","Lost Cabin Member of Wind River Formation"
"124LTGC ","Lone Tree Gulch Ash"
"124LUMN ","Luman Tongue of Green River Formation"
"124LYRE ","Lyre Formation"
"124LYST ","Lysite Member of Wind River Formation"
"124MCBN ","Mc Bean Formation"
"124MCEL ","Mc Elroy Formation"
"124MCGU ","Middle Confining Unit"
"124MCIS ","Mc Intosh Formation"
"124MCRF ","Moncrief Member of Wasatch Formation"
"124MCSN ","Metchosin Volcanic Series"
"124MDBC ","Moodys Branch Formation"
"124MDBCR","Moodys Branch Limestone"
"124MFCV ","Mafic Volcanic Rocks"
"124MGCK ","Montgomery Creek Formation"
"124MLMN ","Melmont Coal Bearing Rocks"
"124MLTR ","Moultrie Member of Santee Limestone"
"124MMPS ","Memphis Sand"
"124MNDG ","Mindego Basalt"
"124MNNG ","Manning Formation of Jackson Group"
"124MNSQ ","Manasquan Formation"
"124MNSS ","Manastash Formation"
"124MQVC ","Manasquan-Vincentown Formations"
"124MRDN ","Meridian Sand Member of Tallahatta Formation"
"124MRKL ","Markley Formation"
"124MRLB ","Marlboro Clay"
"124MRQZ ","Marquez Shale Member of Reklaw Formation"
"124MTNS ","Matansa Limestone"
"124MUWX ","Meridian-Upper Wilcox Aquifer"
"124MWCX ","Minor Wilcox Aquifer"
"124NBRG ","Newberger Sand (Subsurface)"
"124NBRN ","Naborton Aquifer"
"124NBRNC","Naborton Confining Unit"
"124NCHS ","Naches Formation"
"124NESS ","Neeses Formation"
"124NFRK ","New Fork Tongue of Wasatch Formation"
"124NGDK ","Ngardok Member, Aimeliik Formation"
"124NGRL ","Ngarsul Member, Aimeliik Formation"
"124NLND ","Niland Tongue of Wasatch Formation"
"124NMSM ","Nonmarine Sedimentary Rocks"
"124NNFL ","Nanafalia Formation"
"124NNFLN","Nanafalia Formation, Unnamed Member"
"124NNJM ","Nanjemoy Formation"
"124NRCF ","Northcraft Formation of Puget Group"
"124NRVL ","Nortonville Shale"
"124NSHB ","Neshoba Sand Member of Tallahatta Formation"
"124NSTC ","Nestucca Formation"
"124NTCK ","North Twistwood Creek Member of Yazoo Clay"
"124NTPC ","Natapoc Formation"
"124NWBY ","Newby Glauconitic Sand Member of Reklaw Formation"
"124OBCK ","Obrien Creek Formation"
"124OCAL ","Ocala Limestone"
"124OCALG","Ocala Group"
"124OCALL","Ocala Limestone, Lower Member"
"124OCALU","Ocala Limestone, Upper Member"
"124ODBK ","Old Breastworks Formation"
"124OGBG ","Orangeburg Group"
"124OLDM ","Oldsmar Limestone"
"124OLDMN","Oldsmar Limestone Aquifer"
"124OLMS ","Olmos Sand"
"124OLQU ","Olequa Formation"
"124OMEN ","Omen Member of Mount Selman Formation"
